,Ano,TimeDaCasa,GolsTimeDaCasa,TimeVisitante,GolsTimeVisitante,QuantidadeTitulosTimeDaCasa,QuantidadeTitulosVisitante,Vencedor,RankTimeDaCasa,TotalPointsTimeDaCasa,RankTimeVisitante,TotalPointsTimeVisitante
0,1994,Spain,2,Korea Republic,2,1,0,Empate,5.0,56.0,37.0,38.0
1,1994,Germany,1,Bolivia,0,4,0,TimeDaCasa,1.0,60.0,43.0,35.0
2,1994,USA,1,Switzerland,1,0,0,Empate,23.0,47.0,12.0,54.0
3,1994,Italy,0,Republic of Ireland,1,4,0,TimeVisitante,4.0,57.0,14.0,53.0
4,1994,Colombia,1,Romania,3,0,0,TimeVisitante,17.0,51.0,7.0,55.0
5,1994,Belgium,1,Morocco,0,0,0,TimeDaCasa,27.0,44.0,28.0,44.0
6,1994,Norway,1,Mexico,0,0,0,TimeDaCasa,6.0,56.0,16.0,51.0
7,1994,Cameroon,2,Sweden,2,0,0,Empate,24.0,46.0,10.0,55.0
8,1994,Netherlands,2,Saudi Arabia,1,0,0,TimeDaCasa,2.0,59.0,34.0,40.0
9,1994,Brazil,2,Russia,0,5,0,TimeDaCasa,3.0,59.0,19.0,50.0
10,1994,Argentina,4,Greece,0,2,0,TimeDaCasa,8.0,55.0,31.0,41.0
11,1994,Nigeria,3,Bulgaria,0,0,0,TimeDaCasa,11.0,54.0,29.0,44.0
12,1994,Germany,1,Spain,1,4,1,Empate,1.0,60.0,5.0,56.0
13,1994,Romania,1,Switzerland,4,0,0,TimeVisitante,7.0,55.0,12.0,54.0
14,1994,USA,2,Colombia,1,0,0,TimeDaCasa,23.0,47.0,17.0,51.0
15,1994,Italy,1,Norway,0,4,0,TimeDaCasa,4.0,57.0,6.0,56.0
16,1994,Korea Republic,0,Bolivia,0,0,0,Empate,37.0,38.0,43.0,35.0
17,1994,Mexico,2,Republic of Ireland,1,0,0,TimeDaCasa,16.0,51.0,14.0,53.0
18,1994,Sweden,3,Russia,1,0,0,TimeDaCasa,10.0,55.0,19.0,50.0
19,1994,Brazil,3,Cameroon,0,5,0,TimeDaCasa,3.0,59.0,24.0,46.0
20,1994,Belgium,1,Netherlands,0,0,0,TimeDaCasa,27.0,44.0,2.0,59.0
21,1994,Saudi Arabia,2,Morocco,1,0,0,TimeDaCasa,34.0,40.0,28.0,44.0
22,1994,Argentina,2,Nigeria,1,2,0,TimeDaCasa,8.0,55.0,11.0,54.0
23,1994,Bulgaria,4,Greece,0,0,0,TimeDaCasa,29.0,44.0,31.0,41.0
24,1994,USA,0,Romania,1,0,0,TimeVisitante,23.0,47.0,7.0,55.0
25,1994,Switzerland,0,Colombia,2,0,0,TimeVisitante,12.0,54.0,17.0,51.0
26,1994,Germany,3,Korea Republic,2,4,0,TimeDaCasa,1.0,60.0,37.0,38.0
27,1994,Bolivia,1,Spain,3,0,1,TimeVisitante,43.0,35.0,5.0,56.0
28,1994,Republic of Ireland,0,Norway,0,0,0,Empate,14.0,53.0,6.0,56.0
29,1994,Brazil,1,Sweden,1,5,0,Empate,3.0,59.0,10.0,55.0
30,1994,Italy,1,Mexico,1,4,0,Empate,4.0,57.0,16.0,51.0
31,1994,Russia,6,Cameroon,1,0,0,TimeDaCasa,19.0,50.0,24.0,46.0
32,1994,Morocco,1,Netherlands,2,0,0,TimeVisitante,28.0,44.0,2.0,59.0
33,1994,Belgium,0,Saudi Arabia,1,0,0,TimeVisitante,27.0,44.0,34.0,40.0
34,1994,Greece,0,Nigeria,2,0,0,TimeVisitante,31.0,41.0,11.0,54.0
35,1994,Argentina,0,Bulgaria,2,2,0,TimeVisitante,8.0,55.0,29.0,44.0
36,1994,Germany,3,Belgium,2,4,0,TimeDaCasa,1.0,60.0,27.0,44.0
37,1994,Spain,3,Switzerland,0,1,0,TimeDaCasa,5.0,56.0,12.0,54.0
38,1994,Saudi Arabia,1,Sweden,3,0,0,TimeVisitante,34.0,40.0,10.0,55.0
39,1994,Romania,3,Argentina,2,0,2,TimeDaCasa,7.0,55.0,8.0,55.0
40,1994,Netherlands,2,Republic of Ireland,0,0,0,TimeDaCasa,2.0,59.0,14.0,53.0
41,1994,Brazil,1,USA,0,5,0,TimeDaCasa,3.0,59.0,23.0,47.0
42,1994,Nigeria,1,Italy,2,0,4,TimeVisitante,11.0,54.0,4.0,57.0
43,1994,Mexico,1,Bulgaria,1,0,0,Empate,16.0,51.0,29.0,44.0
44,1994,Italy,2,Spain,1,4,1,TimeDaCasa,4.0,57.0,5.0,56.0
45,1994,Netherlands,2,Brazil,3,0,5,TimeVisitante,2.0,59.0,3.0,59.0
46,1994,Bulgaria,2,Germany,1,0,4,TimeDaCasa,29.0,44.0,1.0,60.0
47,1994,Romania,2,Sweden,2,0,0,Empate,7.0,55.0,10.0,55.0
48,1994,Bulgaria,1,Italy,2,0,4,TimeVisitante,29.0,44.0,4.0,57.0
49,1994,Sweden,0,Brazil,1,0,5,TimeVisitante,10.0,55.0,3.0,59.0
50,1994,Sweden,4,Bulgaria,0,0,0,TimeDaCasa,10.0,55.0,29.0,44.0
51,1994,Brazil,0,Italy,0,5,4,Empate,3.0,59.0,4.0,57.0
52,1998,Brazil,2,Scotland,1,5,0,TimeDaCasa,1.0,72.0,41.0,48.0
53,1998,Morocco,2,Norway,2,0,0,Empate,13.0,57.0,7.0,60.0
54,1998,Italy,2,Chile,2,4,0,Empate,14.0,57.0,9.0,59.0
55,1998,Cameroon,1,Austria,1,0,0,Empate,49.0,45.0,31.0,52.0
56,1998,Paraguay,0,Bulgaria,0,0,0,Empate,29.0,52.0,35.0,50.0
57,1998,Saudi Arabia,0,Denmark,1,0,0,TimeVisitante,34.0,51.0,27.0,53.0
58,1998,France,3,South Africa,0,2,0,TimeDaCasa,18.0,56.0,24.0,55.0
59,1998,Spain,2,Nigeria,3,1,0,TimeVisitante,15.0,56.0,74.0,37.0
60,1998,Korea Republic,1,Mexico,3,0,0,TimeVisitante,20.0,55.0,4.0,61.0
61,1998,Netherlands,0,Belgium,0,0,0,Empate,25.0,54.0,36.0,50.0
62,1998,Argentina,1,Japan,0,2,0,TimeDaCasa,6.0,60.0,12.0,58.0
64,1998,Jamaica,1,Croatia,3,0,0,TimeVisitante,30.0,52.0,19.0,56.0
65,1998,England,2,Tunisia,0,1,0,TimeDaCasa,5.0,60.0,21.0,55.0
66,1998,Romania,1,Colombia,0,0,0,TimeDaCasa,22.0,55.0,10.0,58.0
67,1998,Germany,2,USA,0,4,0,TimeDaCasa,2.0,65.0,11.0,58.0
68,1998,Scotland,1,Norway,1,0,0,Empate,41.0,48.0,7.0,60.0
69,1998,Brazil,3,Morocco,0,5,0,TimeDaCasa,1.0,72.0,13.0,57.0
70,1998,Chile,1,Austria,1,0,0,Empate,9.0,59.0,31.0,52.0
71,1998,Italy,3,Cameroon,0,4,0,TimeDaCasa,14.0,57.0,49.0,45.0
72,1998,South Africa,1,Denmark,1,0,0,Empate,24.0,55.0,27.0,53.0
73,1998,France,4,Saudi Arabia,0,2,0,TimeDaCasa,18.0,56.0,34.0,51.0
74,1998,Nigeria,1,Bulgaria,0,0,0,TimeDaCasa,74.0,37.0,35.0,50.0
75,1998,Spain,0,Paraguay,0,1,0,Empate,15.0,56.0,29.0,52.0
76,1998,Japan,0,Croatia,1,0,0,TimeVisitante,12.0,58.0,19.0,56.0
77,1998,Belgium,2,Mexico,2,0,0,Empate,36.0,50.0,4.0,61.0
78,1998,Netherlands,5,Korea Republic,0,0,0,TimeDaCasa,25.0,54.0,20.0,55.0
79,1998,Germany,2,Yugoslavia,2,4,0,Empate,2.0,65.0,8.0,59.0
80,1998,Argentina,5,Jamaica,0,2,0,TimeDaCasa,6.0,60.0,30.0,52.0
82,1998,Colombia,1,Tunisia,0,0,0,TimeDaCasa,10.0,58.0,21.0,55.0
83,1998,Romania,2,England,1,0,1,TimeDaCasa,22.0,55.0,5.0,60.0
84,1998,Italy,2,Austria,1,4,0,TimeDaCasa,14.0,57.0,31.0,52.0
85,1998,Chile,1,Cameroon,1,0,0,Empate,9.0,59.0,49.0,45.0
86,1998,Scotland,0,Morocco,3,0,0,TimeVisitante,41.0,48.0,13.0,57.0
87,1998,Brazil,1,Norway,2,5,0,TimeVisitante,1.0,72.0,7.0,60.0
88,1998,France,2,Denmark,1,2,0,TimeDaCasa,18.0,56.0,27.0,53.0
89,1998,South Africa,2,Saudi Arabia,2,0,0,Empate,24.0,55.0,34.0,51.0
90,1998,Spain,6,Bulgaria,1,1,0,TimeDaCasa,15.0,56.0,35.0,50.0
91,1998,Nigeria,1,Paraguay,3,0,0,TimeVisitante,74.0,37.0,29.0,52.0
92,1998,Belgium,1,Korea Republic,1,0,0,Empate,36.0,50.0,20.0,55.0
93,1998,Netherlands,2,Mexico,2,0,0,Empate,25.0,54.0,4.0,61.0
95,1998,USA,0,Yugoslavia,1,0,0,TimeVisitante,11.0,58.0,8.0,59.0
96,1998,Japan,1,Jamaica,2,0,0,TimeVisitante,12.0,58.0,30.0,52.0
97,1998,Argentina,1,Croatia,0,2,0,TimeDaCasa,6.0,60.0,19.0,56.0
98,1998,Romania,1,Tunisia,1,0,0,Empate,22.0,55.0,21.0,55.0
99,1998,Colombia,0,England,2,0,1,TimeVisitante,10.0,58.0,5.0,60.0
100,1998,Italy,1,Norway,0,4,0,TimeDaCasa,14.0,57.0,7.0,60.0
101,1998,Brazil,4,Chile,1,5,0,TimeDaCasa,1.0,72.0,9.0,59.0
102,1998,France,1,Paraguay,0,2,0,TimeDaCasa,18.0,56.0,29.0,52.0
103,1998,Nigeria,1,Denmark,4,0,0,TimeVisitante,74.0,37.0,27.0,53.0
104,1998,Germany,2,Mexico,1,4,0,TimeDaCasa,2.0,65.0,4.0,61.0
105,1998,Netherlands,2,Yugoslavia,1,0,0,TimeDaCasa,25.0,54.0,8.0,59.0
106,1998,Romania,0,Croatia,1,0,0,TimeVisitante,22.0,55.0,19.0,56.0
