rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,rank_month,rank_year,rank_day
46,Algeria,ALG,34.0,37.0,8,CAF,1994-05-17,5,1994,17
63,United Arab Emirates,UAE,26.0,32.0,7,AFC,1994-05-17,5,1994,17
62,Guinea,GUI,26.0,28.0,-2,CAF,1994-05-17,5,1994,17
61,Iraq,IRQ,28.0,28.0,-4,AFC,1994-05-17,5,1994,17
60,Paraguay,PAR,28.0,28.0,-1,CONMEBOL,1994-05-17,5,1994,17
59,Czech Republic,CZE,28.0,28.0,-4,UEFA,1994-05-17,5,1994,17
58,Canada,CAN,29.0,32.0,3,CONCACAF,1994-05-17,5,1994,17
57,IR Iran,IRN,30.0,30.0,-2,AFC,1994-05-17,5,1994,17
56,Turkey,TUR,31.0,31.0,-1,UEFA,1994-05-17,5,1994,17
64,Zaire,ZAI,26.0,27.0,-2,CAF,1994-05-17,5,1994,17
55,Senegal,SEN,31.0,31.0,-3,CAF,1994-05-17,5,1994,17
53,China PR,CHN,33.0,33.0,3,AFC,1994-05-17,5,1994,17
52,Israel,ISR,33.0,33.0,0,UEFA,1994-05-17,5,1994,17
51,Honduras,HON,33.0,33.0,0,CONCACAF,1994-05-17,5,1994,17
50,Costa Rica,CRC,34.0,34.0,1,CONCACAF,1994-05-17,5,1994,17
49,Hungary,HUN,34.0,33.0,-4,UEFA,1994-05-17,5,1994,17
48,Mali,MLI,34.0,34.0,0,CAF,1994-05-17,5,1994,17
47,Ecuador,ECU,34.0,34.0,2,CONMEBOL,1994-05-17,5,1994,17
45,Slovakia,SVK,34.0,32.0,-9,UEFA,1994-05-17,5,1994,17
54,Japan,JPN,32.0,36.0,12,AFC,1994-05-17,5,1994,17
44,Australia,AUS,35.0,35.0,0,AFC,1994-05-17,5,1994,17
65,Gabon,GAB,26.0,27.0,-2,CAF,1994-05-17,5,1994,17
67,Thailand,THA,24.0,26.0,-2,AFC,1994-05-17,5,1994,17
86,Syria,SYR,19.0,19.0,1,AFC,1994-05-17,5,1994,17
85,Trinidad and Tobago,TRI,20.0,15.0,-10,CONCACAF,1994-05-17,5,1994,17
84,Bahrain,BHR,20.0,21.0,2,AFC,1994-05-17,5,1994,17
83,Singapore,SGP,20.0,23.0,8,AFC,1994-05-17,5,1994,17
82,Kenya,KEN,20.0,22.0,4,CAF,1994-05-17,5,1994,17
81,Niger,NIG,21.0,22.0,4,CAF,1994-05-17,5,1994,17
80,Malawi,MWI,21.0,21.0,-1,CAF,1994-05-17,5,1994,17
79,Oman,OMA,21.0,20.0,-4,AFC,1994-05-17,5,1994,17
66,Kuwait,KUW,25.0,28.0,4,AFC,1994-05-17,5,1994,17
78,South Africa,RSA,21.0,16.0,-14,CAF,1994-05-17,5,1994,17
76,Cyprus,CYP,22.0,25.0,5,UEFA,1994-05-17,5,1994,17
75,Yugoslavia,YUG,22.0,23.0,1,UEFA,1994-05-17,5,1994,17
74,Malta,MLT,22.0,21.0,-6,UEFA,1994-05-17,5,1994,17
73,Korea DPR,PRK,23.0,27.0,5,AFC,1994-05-17,5,1994,17
71,Qatar,QAT,23.0,30.0,11,AFC,1994-05-17,5,1994,17
70,El Salvador,SLV,23.0,24.0,-3,CONCACAF,1994-05-17,5,1994,17
69,Peru,PER,24.0,24.0,-3,CONMEBOL,1994-05-17,5,1994,17
68,Sierra Leone,SLE,24.0,25.0,-2,CAF,1994-05-17,5,1994,17
77,New Zealand,NZL,21.0,22.0,-2,OFC,1994-05-17,5,1994,17
87,Slovenia,SVN,19.0,11.0,-30,UEFA,1994-05-17,5,1994,17
43,Bolivia,BOL,35.0,34.0,-4,CONMEBOL,1994-05-17,5,1994,17
41,Austria,AUT,36.0,39.0,5,UEFA,1994-05-17,5,1994,17
18,Colombia,COL,50.0,49.0,-2,CONMEBOL,1994-05-17,5,1994,17
17,France,FRA,50.0,51.0,2,UEFA,1994-05-17,5,1994,17
16,Italy,ITA,50.0,52.0,3,UEFA,1994-05-17,5,1994,17
15,England,ENG,50.0,51.0,-1,UEFA,1994-05-17,5,1994,17
14,Uruguay,URU,50.0,51.0,-3,CONMEBOL,1994-05-17,5,1994,17
13,Mexico,MEX,51.0,52.0,0,CONCACAF,1994-05-17,5,1994,17
12,Republic of Ireland,IRL,52.0,51.0,-5,UEFA,1994-05-17,5,1994,17
11,Netherlands,NED,53.0,55.0,3,UEFA,1994-05-17,5,1994,17
19,Zambia,ZAM,49.0,50.0,0,CAF,1994-05-17,5,1994,17
10,Romania,ROU,54.0,53.0,-1,UEFA,1994-05-17,5,1994,17
8,Switzerland,SUI,54.0,56.0,4,UEFA,1994-05-17,5,1994,17
7,Nigeria,NGA,55.0,56.0,2,CAF,1994-05-17,5,1994,17
6,Argentina,ARG,55.0,54.0,-4,CONMEBOL,1994-05-17,5,1994,17
5,Denmark,DEN,55.0,56.0,-1,UEFA,1994-05-17,5,1994,17
4,Norway,NOR,56.0,57.0,1,UEFA,1994-05-17,5,1994,17
3,Sweden,SWE,57.0,55.0,-6,UEFA,1994-05-17,5,1994,17
2,Germany,GER,59.0,59.0,0,UEFA,1994-05-17,5,1994,17
1,Brazil,BRA,59.0,59.0,0,CONMEBOL,1994-05-17,5,1994,17
9,Spain,ESP,54.0,55.0,2,UEFA,1994-05-17,5,1994,17
42,Zimbabwe,ZIM,36.0,36.0,1,CAF,1994-05-17,5,1994,17
20,Russia,RUS,49.0,52.0,8,UEFA,1994-05-17,5,1994,17
22,Portugal,POR,47.0,48.0,0,UEFA,1994-05-17,5,1994,17
